City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,albany,75,US,1525366440,50,42.65,-73.75,80.6,4.7
1,fortuna,20,ES,1525366800,33,38.18,-1.13,73.4,12.75
2,mahebourg,40,MU,1525366800,65,-20.41,57.7,77.0,11.41
3,luderitz,0,NA,1525368197,90,-26.65,15.16,61.91,7.4
4,velikiy ustyug,88,RU,1525368198,92,60.76,46.3,38.06,13.44
5,qaanaaq,12,GL,1525368199,98,77.48,-69.36,7.01,3.71
6,atbasar,0,KZ,1525368200,97,51.81,68.36,44.54,5.17
7,aksu,0,KZ,1525366800,70,52.04,76.93,44.6,6.71
8,hobart,75,AU,1525366800,72,-42.88,147.33,59.0,10.29
9,rikitea,68,PF,1525368201,100,-23.12,-134.97,73.07,9.64
10,gladstone,0,AU,1525368201,100,-23.84,151.26,62.45,5.39
11,flinders,88,AU,1525366800,77,-34.58,150.85,60.8,5.82
12,velykoploske,0,UA,1525365000,34,47.02,29.68,78.8,5.82
13,robertsport,8,LR,1525368204,100,6.75,-11.37,82.16,13.0
14,wuwei,32,CN,1525368204,53,37.93,102.64,44.99,5.39
15,busselton,68,AU,1525368205,100,-33.64,115.35,58.76,2.59
16,pevek,0,RU,1525368207,64,69.7,170.27,11.24,4.16
17,mulege,0,MX,1525368207,49,26.88,-111.98,71.54,4.94
18,sulangan,88,PH,1525368208,100,11.14,123.72,80.99,10.98
19,mataura,48,NZ,1525368209,98,-46.19,168.86,45.26,2.71
20,ribeira grande,75,PT,1525366800,67,38.52,-28.7,62.6,9.17
21,kodiak,75,US,1525366380,83,39.95,-94.76,73.4,18.34
22,arraial do cabo,75,BR,1525366800,94,-22.97,-42.02,75.2,9.17
23,kapaa,90,US,1525367220,94,22.08,-159.32,68.0,5.95
24,hermanus,12,ZA,1525368213,65,-34.42,19.24,59.03,6.06
25,barrow,0,AR,1525368214,68,-38.31,-60.23,66.95,9.19
26,progreso,40,UY,1525366800,77,-34.68,-56.22,69.8,9.17
27,halifax,90,CA,1525366800,71,44.65,-63.58,55.4,12.75
28,iqaluit,40,CA,1525366800,52,63.75,-68.52,17.6,5.82
